title,bedrooms,price,location,post_time
NO FEE | LARGE 1BR APARTMENT | New Appliances in Kitchen,1br,2600,harlem / morningside,1/24
Newly built 3 bed 2 batb corner unit in Greenwood,3br,4400,greenwood,1/24
Massive 3bed - 1bath,3br,3200,bushwick,1/24
52ND STREET AND QUEENS BLVD ONE BEDROOM NEAR #7 TRAIN AND 25MIN TO  N,1br,1675,sunnyside,1/24
brand new 4beds 2baths large apartment,4br,3800,middle village,1/24
Bright Sunny 1 Bedroom in Midwood,1br,1900,brooklyn,1/24
Unique - Last Apartment Available - You Won't Want to Miss Out,,2550,east village,1/24
"$1,3oo STUDIO ~ 1st Floor ~ UTILITIES INCLUDED",studio,1,"roosevelt avenue, main street - flushing",1/24
2 Bedroom 160 Quincy Street Corner house sunny,2br,2700,brooklyn bed-stuy,1/24
Spacious 2 Bed 2 Bath NO FEE + Office space,2br,2800,brooklyn,1/24
MASSIVE 3 BEDROOM 1 BATH** LAUNDRY IN UNIT**NO FEE,3br,3100,flatbush,1/24
Spacious 3 bedroom Duplex in Bushwick! NO FEE,3br,3500,bushwick,1/24
Huge Sunny 1 bed,1br,2100,brooklyn,1/24
Spacious 2 bed 1 bath unit in Bushwick W/d in bldg + furnished rooftop,2br,2600,bushwick,1/24
2 Bedroom Apartment,2br,2750,park slope,1/24
😍 1 Bed Lofty Layout in Bushwick,1br,2899,bushwick (myrtle jmz),1/24
One bed flat!! Best of Bushwick and Bed-Stuy,1br,2399,bushwick,1/24
*Room With Private Bathroom*,,1250,bedstuy,1/24
TWO BED DUPLEX WITH BACKYARD! February 1 move-in!,2br,2800,bushwick,1/24
GORGEOUS NEW 2 BED WITH LAUNDRY IN THE UNIT!! large living room,2br,2500,flatbush,1/24
**GORGEOUS 3 BED/ 1 BATH APT IN EAST FLATBUSH WITH AMENITIES*NO FEE**,3br,2600,east flatbush,1/24
SPACIOUS 4 BED / 2 BATH IN PRIME LOCATION ~ RIGHT OFF MYRTLE WYCKOFF,4br,3800,ridgewood,1/24
**STUNNING** SPACIOUS 3 BED 2 FULL BATH WITH W/D IN  IN UNIT!,3br,3200,crown heights,1/24
STUNNING APARTMENT LUXURY BUILDING,,5750,midtown west,1/24
"BRIGHT, BEAUTIFUL &  LARGE D/W + W/D",,3000,brooklyn heights,1/24
"2BR near LIRR,NEWkitNEWapplDISH/MICRO,NEWbathWOODflrWASHER/DRYER,CATok",2br,2100,bayside near north flushing and whitestone,1/24
-----NO FEE----1 MO FREE-----LUX 2 BED 2 BATH-------FULL SERVICE-----,2br,5440,downtown,1/24
-----NO FEE------MASSIVE LUX 1 BED-----PRIME ASTORIA----ROOF DECK----L,1br,2850,astoria,1/24
Clinton Hill - Beautiful Studio apt - Laundry - No fee!!,studio,2195,clinton hill,1/24
Come make this 4 bed 2 bath gem your new Home (Bushwick),4br,4000,bushwick,1/24
*MASSIVE *SUNNY* 4 BED APARTMENT FOR A GREAT PRICE! *W/D IN UNIT!!*,4br,3300,stuyvesant heights,1/24
3BRS APT FOR RENT,3br,2300,elmhurst,1/24
Sunkissed 3 bed 1 bath apt in Gowanus March 1 move in,3br,4400,gowanus,1/24
**BRAND NEW** BEAUTIFUL 2Bed 2Ba APARTMENT *W/D IN UNIT* WILLIAMSBURG,2br,3200,williamsburg,1/24
GORGEOUS LARGE 3 BED 2 FULL BATH IN GREAT RIDGEWOOD LOCATION!,3br,3200,ridgewood,1/24
No fee 💥 Great 4BR / 2BA for rent 💥 Renovated & Spacious💥 Must see,4br,3999,bushwick / l train @ wilson av,1/24
Beautiful huge 1  bed + office 1 bath apt in PLG,1br,2500,prospect lefferts garden,1/24
** 2 BEDROOMS** **PARK TERRACE WEST** **ELEVATOR/LAUNDRY BUILDING**,2br,2700,inwood / wash hts,1/24
$2245 - Cozy Studio with Amazing View in West Harlem,studio,2245,west harlem,1/24
SPACIOUS ALCOVE STUDIO AVAILABLE FOR IMMEDIATE OCCUPANCY IN MID RISE,studio,1595,new york,1/24
RENOVATED 1 BED WITH CONDO LIKE FINISHES FOR IMMEDIATE OCCUPANCY,1br,1940,mount vernon,1/24
**LARGE LIVIG ROOM** SPACIOUS 3 BEDROOM IN STUYVSANT HEIGHT***NO FEE,3br,2700,stuyvsent height,1/24
SPACIOUS 4 BEDROOM 1.5 BATH**NO FEE,4br,3000,crownheights,1/24
DUPLEX**PRVATE ROOFDECK**ENDLESS LIGHT**2 BATHROOM**NO FEE,,2900,crown heights,1/24
HUGE PORTCHESTER 1 BED WITH WALK THRU KITCHEN & DINING AREA,1br,1925,portchester,1/24
SECTION-8 1 BEDROOM / NEWLY RENOVATED,1br,2275,all bronx areas,1/24
SECTION-8 2 BEDROOM/NEWLY RENOVATED,2br,2555,all bronx areas,1/24
Charming farm house in Greenwich for rent,,2650,"greenwich (pemberwick, byram, chickahominy areas)",1/24
SECTION-8 3 BEDROOM / NEWLY RENOVATED,3br,3214,all bronx areas,1/24
"W/D in unit Duplex, Brand New Development, Dishwasher, Private Storage",,2750,bed stuy,1/24
1 bedroom apt. for rent,1br,2200,midwood,1/24
SUPER SUNNY 2 BDRM PENTHOUSE AVAILABLE IN PRIME BUSHWICK*PRIVATE PATIO,2br,2995,bushwick,1/24
SPACIOUS 2 BDRM DUPLEX + BACKYARD IN CLINTON HILL****ASAP MOVE IN,2br,2995,clinton hill,1/24
3 BDRM GOWANUS GEM AVAILABLE FOR ASAP MOVE IN!!! SHARED YARD!!!,3br,4400,gowanus,1/24
"Cobble Hill Apt: No Broker Fee, First Month Free, 1 BD, 2 Full BR, WD & DW",1br,3750,brooklyn,1/24
-----NO FEE------LUX 1 BED-----WATERFRONT LIC------FULL SERVICE BUILDI,1br,3750,long island city,1/24
STUNNING 3 BED 1.5 BATH IN MASPETH! LAUNDRY & NO BROKERS FEE!,3br,3100,maspeth,1/24
---33RD FLOOR----NO FEE------1 MO FREE----SUN DRENCHED----- 5 MIN TO M,,2999,long island city,1/24
INCREDIBLE 4 BED 2.5BATH DUPLEX IN RIDGEWOOD FOR A GREAT PRICE! NO FEE,4br,3700,ridgewood,1/24
Renovated 1 BR Apt (125th St) + Laundry + Elevator + Gym in Bldg,1br,2600,morningside heights,1/24
**BEAUTIFUL SUNNY 3 BED/ 1 BATH APT IN PRIME PARK SLOPE**NO FEE**,3br,4000,park slope,1/24
UNIQUE SPACIOUS RENOVATED Apartment PRIVATE HOUSE,,2650,bay ridge brooklyn,1/24
"Renovated, 1 Bedroom Unit in Downtown Yonkers",1br,1675,yonkers,1/24
NO BROKER FEE APARTMENTS READY NOW!!,,1,bronx,1/24
"3 bedroom available today CVR, Sec 8 welcome",3br,2400,yonkers,1/24
Rare 3 Bed in luxury building,3br,3695,brooklyn,1/24
Apartment for rent,,2475,upper west side,1/24
NO BROKER FEE APARTMENTS READY NOW!!,,1,inwood / wash hts,1/24
Gorgeous 3 bedroom apartment available in prime Stuyvesant Heights!!!,3br,3175,bedford-stuyvesant,1/24
"1 bedroom available today CVR, Sec 8 welcome",1br,1550,yonkers,1/24
Newly renovated 3 bedroom on the Bed Stuy/ Bushwick border.,3br,3150,brooklyn,1/24
"Large sunny 4bed/2bath w/ great living room, a/c, dishwasher w/d hooku",4br,3400,bushwick @ wilson l + halsey j,1/24
"Westchester Apartments Studio 1 , 2 & 3 Bedroom",studio,1800,white plains,1/24
"Sunny large 2br  apartment, New bathroom and kitchen!",2br,2100,new rochelle,1/24
Short term rental  Spacious 3 bed/ 2 bath apt in Bushwick,3br,3300,bushwick,1/24
"Riverdale 2 bedroom ""AS-IS""",2br,2100,mosholu ave,1/24
Spacious 3 bed 3 bath apt in Williamsburg,3br,4800,williamsburg,1/24
Renovated Studio in Sutton Place (55th St)+ Dishwasher+ SS Kitchen,studio,2695,midtown east,1/24
Spacious 2 bed 1.5 bath duplex in Bushwick,2br,2900,bushwick,1/24
Apartamento 3 habitaciónes 2 baños,,3200,ozone park,1/24
$500.00 monthly rent for full apt. share if interested in a serious re,,500,"stamford, ct.",1/24
**“The Ritz Carlton” of Luxury Apartment Living! Steps From Seaport**,,2900,financial district,1/24
Spacious 4 bed 2 bath apt in Ridgewood,4br,3800,ridgewood,1/24
**“The Ritz Carlton” of Luxury Apartment Living! Steps From Seaport**,,2700,financial district,1/24
extremely xl 2 bedroom apt.utilities includ. no fee w/d in unit,2br,2798,crowen hights,1/24
Spacious Sun Drenched Renovated 2 Bedroom* Private Backyard* Asap move,2br,2800,rosedale,1/24
3 bedroom for rent,3br,2500,east 235th street,1/24
"$1,5oo DUPLEX/LOFT w/Utilities Included",,1,near r+m+#7 trains- off broadway,1/24
ONE BEDROOM WALK IN APT 1ST FL $1500,1br,1500,ozone park,1/24
APARTMENT FOR RENT/ SE RENTA APARTMENTO,,1800,howard beach,1/24
"Huge, 3 bed 1 bath, renovated, elevator, laundry, kings size bedroooms",3br,3300,kensignton / south slope area/ not too far from prospect par,1/24
"Brand New, Absolutely gorgeous, spacious, w/d in unit",,2350,bed-stuy/ stuyvesant heights,1/24
"Brand New, 2 flex 3 bed 2bath, w/d in unit, private roof terrace",3br,4245,bed-stuy/ stuyvesant heights,1/24
"2bed 2bath duplex, private roof terrace, laundry,",2br,3399,crown heights close to prospect park  brooklyn museum,1/24
"Huge 3 bedroom 1.5 bath plus H/O private outdoor, w/d & 1 parking spot",3br,3200,kensington  (close to prospect park and windsor terrace),1/24
"Heart Of Bushwick!LIGHT! Window In Livingroom, PRIVATE 600ft DECK!!!!!",,3200,bushwick,1/24
Immaculate Brand New and Very Spacious 2.5 Bedroom Apt,5br,2300,"cypress hills, brooklyn",1/24
AMAZING DEAL! JUST MINUTES From MARIA HENANDEZ & Dekalb L  BIG LIVINGR,,2900,bushwick,1/24
"Luxury 2BR,2Bth$2700,Hardwd,W/D,Terr,Dwntwn",2br,2700,stamford,1/24
"*STUNNING DUPLEX “2 BR. / 2 BTH."" + ROOF DECK / WEST 46 ST. & 9 AV.",2br,4250,midtown west,1/24
"Luxury 1 BR(800sf),$2118,Hardwd,W/D,Terr,Dwntwn",1br,2118,stamford,1/24
***1Bedroom Apartment  Ready ⚡️⚡️⚡️⚡️,1br,1750,richmond hill,1/24
4/5 Bedroom Apartment for Rent- Direct from Owner- No Broker Fees,5br,3400,franklin square,1/24
Private Outdoor space*Exposed brick new Everything*Gas included*Park a,,2600,bedford-stuyvesant,1/24
Large Sunny 1 BR-650 SQFT-W/D in the unit.UWS-West72 ST,1br,2827,upper west side,1/24
No Fee  2  Bd  1 bath With Sky roof East 19 St 9297240948,2br,3695,gramercy,1/24
☆☆☆2CUARTOS APARTAMENTO <~~~~~~~~~~~~~~~,,2100,woodhaven,1/24
Newly Renovated 2 BR Garden,2br,3400,park slope,1/24
Apartment for rent,,1280,jersey city,1/24
2/3 Bedroom Flex with Butler pantry,3br,2600,midwood,1/24
Newly renovated 2 bedroom in Prime Bedstuy - sweet deal + no fee!!,2br,2899,bedford-stuyvesant,1/24
********1Bedroom Apartment // 1CUARTO APARTAMENTO******,1br,1500,floral park,1/24
Large beautiful 3 bedroom/1.5bathroom,3br,2600,hyatt ave,1/24
Cozy 3 bedroom in Bay Ridge,3br,2600,brooklyn,1/24
IApartment for rent Bridgeport,,2000,bridgeport,1/24
****1CUARTO APARTAMENTO NUEVO <~~~~~~~,,1500,queens village,1/24
"$3,9oo 3Bed 2Bath DUPLEX w/Yard+Deck+Garden+Dishwasher+W/D.Hookups+...",3br,3,76th street off northern blvd - jackson heights/east elmhurs,1/24
spacious one bedroom avaiable now,1br,1550,yonkers,1/24
GORGEOUS luxury rentals available in Columbus Circle!,,4400,midtown west,1/24
Apartment Rentals,,2500,yonkers,1/24
COZY 2 BEDROOM,2br,1800,borough park,1/24
4 bedroom at a 3 bedroom price,3br,2400,yonkers,1/24
PRE-WAR * 2 BR *** AMAZING DEAL *** NO FEE,2br,3200,east village,1/24
PACIFIC ST @ BARCLAYS__2 BR__$3400__Park Slope Prospect Heights,2br,3400,park slope - park slope north,1/24
Student Friendly Housing Manhattan College,,2500,riverdale,1/24
🌟 Brand New 2 Bed unit by Brooklyn College! Laundry in-Unit! $2500,2br,2500,flatbush,1/24
🌟Massive Crown Heights 3 bed 2 bath! $3150!,3br,3150,crown heights,1/24
@BARCLAYS__$3400__2BR__PACIFIC ST__Park Slope Prospect Heights,2br,3400,park slope - park slope north,1/24
MODERN Huge Large Deck ASAP 4 Big Beds 2  Bath No Fee,,7495,midtown west,1/24
UNIQUE RENT STABILIZED DEAL IN THE UPPER EAST SIDE 80s.,,2400,upper east side,1/24
**STUNNING LUXURY 3 BED/ 1.5 BATH APARTMENT IN PRIME BUSHWICK*NO FEE**,3br,3250,bushwick,1/24
4 Bed/2 Bath/in Amenities-converted school-AC/GYM/ROOF/Courtyard/nofee,4br,5800,greenpoint,1/24
4 Bed 3 baths Huge Patio East 18  A Must See *Jan 1 showing now No Fee,4br,7895,gramercy,1/24
3 Bed/2 Bath/in Amenities-converted school-AC/GYM/ROOF/Courtyard/nofee,3br,5300,greenpoint,1/24
MASSIVE 2 Bed 2 Bath Plus Office,2br,2800,bushwick,1/24
Lofted 4 Bed 2 Bath!!! Natural Light,4br,5000,boerum hill,1/24
LARGE 2 Bed Plus Office in the Heart of Bedstuy!!,2br,2700,bedstuy,1/24
Spacious 3 Bed 2 Bath!! Steps away from M train,3br,3200,ridgewood,1/24
Room Available in PRIME Bed Stuy 2/1,,970,bed stuy,1/24
TRUE 4 Sep BRs__W & D__Douglass & 5th_____BARCLAYS_Prospect PARK SLOPE,,4400,park slope - park slope north,1/24
DOUGLASS/5TH AVE__4 BRs__WASHER-DRYER_____BARCLAYS_Prospect PARK SLOPE,4br,4400,park slope - park slope north,1/24
"THIS APARTMENT FEATURES A PRIVATE YARD, BIG WINDOWS, AND HIGH CEILINGS",,2750,crown heights,1/24
"1 BED! STYLISH KITCHEN WITH A DISHWASHER, BIKE STORAGE, ELEVATORS",1br,3600,williamsburg,1/24
"2 BED FEATURES A BALCONY HARDWOOD FLOORS, HIGH CEILINGS TONS OF NATURA",2br,3700,bushwick,1/24
Bsmt studio $1300 available now,studio,1300,astoria,1/24
Fast and easy approval  large 1 bed newly renovated,1br,2095,astoria,1/24
"in quiet residential area of Yonkers,large 1 bed apartment!",1br,1600,yonkers(cross county shopping center),1/24
"In ""Pelham Bay"" area,large 3 bed apt,all utilities included!",3br,2700,colonial av(pelham bay),1/24
"In pelham pkway..1 bedroom apt,available!",1br,1850,barker av(pelham pakway),1/24
🔥Crown Heights🔥LUXURY NEW🔥3BR/LAUNDRY🔥GYM Balcony/NO FEE 2/5 TRAIN,3br,2599,crown heights,1/24
3 bedroom apt for rent,3br,3188,bronx,1/24
2 BED FLEX 3 FIDI DOORMAN BUILDING,2br,5500,financial district,1/24
1 Bedroom Apartment for Rent,1br,1650,"15-17 fairfield ave., norwalk ct",1/24
Four bedroom apartment for rent,4br,3450,morris park,1/24
Cozy and comfy 1-1 apartment,,1299,new york,1/24
SHOWING TODAY! Priced to rent today!,,2300,steps from brooklyn college,1/24
3 BED 2 BATH FLEX 4,3br,7890,financial district,1/24
FIDI FLEX 3  - 24H DOORMAN,,4750,financial district,1/24
PET OK*2 BATHR.*LAUNDRY*GARAGE*SPACIOUS*EASTCHESTER SCH.*CLOSE TO RR**,,3150,scarsdale,1/24
Newly Renovated NO FEE East Village 3BD - Washer Dryer!,3br,5495,east village,1/24
"$1,6oo XL STUDIO w/Rooftop ~ PETS OK!",studio,1,10mins to manhattan - lowery st,1/24
A home for everyone - even your pets! Pet friendly 2 bed / 2 bath!,2br,3545,elmsford,1/24
"$2,8oo 2Bed 1Bath ~ 1st Floor ~ 1000sqr feet",2br,2,near local+express #7 trains ~ no credit? no problem!,1/24
*STUNNING 3 BED 1 BATH IN CROWN HEIGHTS FOR A SWEET PRICE! NO FEE!*,3br,2500,crown heights,1/24
*STUNNING 2 BED 1 BATH IN LUXURY BUILDING! LOTS OF AMENITIES NO FEE!*,2br,2400,farragut,1/24
GORGEOUS 1 BED 1 BATH IN CLINTON HILL FOR A SWEET PRICE! NO FEE!,1br,2300,clinton hill,1/24
GORGEOUS 3 BED 2 BATH IN CROWN HEIGHTS!! IN-UNIT W/D & PRIVATE BALCONY,3br,2900,crown heights,1/24
MASSIVE 3 BED 1 BATH BROWNSTONE IN BEDSTUY FOR A SWEET PRICE! NO FEE!,3br,3150,bedstuy,1/24
FURNISHED 2 Bed+PRIVATE YARD+Exposed Brick,2br,3800,bedford stuyvesant,1/24
UNDER PRICE!  2 BEDROOM IN BUSHWICK NEXT TO L TRAIN,2br,2600,bushwick,1/24
CLINTONHILL//2 BEDROOM 1.5 BATHROOM/HUGE BASEMTNT// BACKYARD//NO FEE,2br,3000,clintonhill,1/24
UNDER PRICE! SPACIOUS 4 BEDROOM 1.5 BATH**NO FEE,4br,3000,crownheights,1/24
DUPLEX**PRVATE ROOFDECK**ENDLESS LIGHT**2 BATHROOM**NO FEE,,2900,crown heights,1/24
Massive Apartment With Updated Features,,4700,bed-stuy,1/24
Newly renovated 4BR 2 Bath Duplex apt in a private home,4br,3300,new rochelle,1/24
"Great Value*True 3 bed & 2 bath, Great natural light, lots of closet s",3br,2700,crown heights,1/24
SPACIOUS 2 BDRM DUPLEX + BACKYARD IN CLINTON HILL****ASAP MOVE IN,2br,2995,clinton hill,1/24
3 BDRM GOWANUS GEM AVAILABLE FOR ASAP MOVE IN!!! SHARED YARD!!!,3br,4400,gowanus,1/24
Bright 3BR with private elevator on 27th Street in LIC!,3br,4200,hunters point/lic,1/24
Spacious 2br With Laundry Near Myrtle-Broadway,2br,3195,bushwick,1/24
BARGAIN KIPS BAY TRUE 1 BED STUNNER_LNDRY BLDG - GREAT LOCATION/ FIND!,1br,2595,murray hill,1/24
$1800 1 bedroom apartment for rent,1br,1800,bronx,1/24
1 and 2 Bedroom Apartments Available (NO BROKERS FEE),2br,1600,yonkers,1/24
SUN BLASTED CHELSEA ALCOVE STUDIO - FULLY LOADED DOORMAN BLDG_A STEAL!,studio,2595,chelsea,1/24
Apartment With Exposed Brick and High Ceilings,,2900,bushwick,1/24
Life just got Better! I'm excited to show this master piece !,,2900,financial district,1/24
Proper Design. Smartly Priced. Amazing views. Ready for move-in!,,2595,battery park,1/24
NEW CONSTRUCTION=TOP FLOOR=GREAT VIEWS=MASSIVE SPACE=ECO FRIENDLY,,3800,financial district,1/24
RECENTLY RENOVATED LARGE 3 BED APT!SUNNY!,3br,2450,bronx,1/24
Amazing apartment in Brooklyn (Bushwick/Ridgewood),,3500,ridgewood,1/24
Bright Apartment in Super Convenient Location,,3999,crown heights,1/24
Renovated 2 Bedroom With In-Unit Laundry,2br,3400,greenpoint/east williamsburg,1/24
RARE LOFTY FLOOR THRU MIDTOWN EAST 2 BED + PRIVATE TERRACE_GREAT FIND!,2br,3595,midtown east,1/24
BRIGHT NOLITA CORNER 3 BED STUNNER__PRIME LOCATION!,3br,4995,nolita / bowery,1/24
TRANQUIL SUN SWEPT WV 1 BED OASIS___PRIME LOCATION - A STEAL!,1br,3995,west village,1/24
AWESOME BRIGHT WV TRUE 1 BED STUNNER + W/D IN UNIT - A STEAL!!!,1br,3495,west village,1/24
SPACIOUS SUN FLOODED EV STUDIO OASIS + W/D IN UNIT___A STEAL!,studio,2995,east village,1/24
NO FEE DUPLEX SEAPORT LOFT STUNNER___W/D IN UNIT - ELEV BLDG - NO FEE!,,5850,financial district,1/24
BARGAIN BRIGHT GRAMERCY 2 BED STUNNER - PRIME LOCATION - A STEAL!!!,2br,2995,gramercy,1/24
SUN SWEPT GUTTED WV 1 BED OASIS___LNDRY/ ROOF DECK BLDG - RARE FIND,1br,3995,west village,1/24
SPACIOUS LES 1 BED DIGS - PRIME LOCATION - RARE FIND,1br,2750,lower east side,1/24
RARE EV 2 BED/ 1.5 BATH DUPLEX + BACKYARD_ELEV/ LNDRY/ ROOF DECK BLDG!,2br,3495,east village,1/24
2 BEDROOM 1 BATH 1 BLOCK FROM 3 TRAIN,2br,2500,east new york,1/24
One bdrm apt.,,2000,astoria,1/24
Beyond Mint,,3000,"springfield gardens, rosedale",1/24
2 rooms on 3rd flr.,,1700,fleetwood,1/24
Available Now!!! 2 bed near Utica Ave 3/4 train.,2br,2350,crown heights,1/24
Get Cozy In this 2 Bed DEAL!!!!,2br,2000,east new york,1/24
"small, renovated two-bedroom available now",,2995,chelsea,1/24
"ONEBEDROOM, HASA CLIENTS",1br,2200,bronx  ny,1/24
3 Bedroom & 2 bath spacious apartment in private residential house,3br,3100,east new york,1/24
Beautiful Furnished Raised Ranch In Prospect Park,,5900,white plains,1/23
🟥BEDSTUY🟩Sunny 4BR/2BATH Laundry In Apt @/J/M/Z TRAIN No Fee,4br,3195,bedstuy,1/23
HOUSE+4BDRM2BATHRM+1FDUPLEX+BACKYARD+BALCONY+NICEBRANDNEWRDYSWEET2GOPR,4br,3500,dyker heights,1/23
"*NO FEE+1 Month FREE* GORGEOUS 1 bedroom, Doorman, Elevator, Laundry",1br,3692,upper east side,1/23
Four Bedroom House plus in-law suite,4br,5300,irvington,1/23
Brand New Luxury Condo,,2150,midwood,1/23
ONE MONTH OFF: Spacious 2 BR with Central Park Views,2br,3995,upper west side,1/23
No Fee 1-bedroom 1bath apartment for rent immediately,1br,4700,flatiron,1/23
HUGE 1 BR*Doormen Building*Balcony*Must See!!!,1br,5600,union square,1/23
beatiful 4 bedroom duplex,4br,2800,bronx,1/23
Biggest Rooms in Brooklyn,,4200,brooklyn,1/23
NO FEE LUXURY 1 BEDROOM in FINANCIAL DISTRICT,1br,4275,financial district,1/23
NO FEE LARGE STUDIO LUXURY in FINANCIAL DISTRICT,studio,2995,financial district,1/23
Alcove Studio w/ Private Balcony Washer & Dryer & Dishwasher By Park,studio,2442,prospect park south / flatbush / ditmas park,1/23
STUDIO APARTMENT  FOR RENT BRAND NEW,studio,2100,bushwick,1/23
54th Street 1 Bedroom 1 Bathroom 1/2 Month Rent Free,1br,4212,midtown west,1/23
Large 2 Bedrooms with New Kitchen on Top Floor Overlooking the Park,2br,2795,prospect park south / flatbush / ditmas park,1/23
"Spacious 2br/1ba available for Feb 1 move in, Laundry, Outdoor area",2br,3000,bushwick/ridgewood (1874 menahan street),1/23
APARTMENTS AVAILABLE!!!,,3000,bronx,1/23
"Bronx, 1 Br, 1 Bath   4th Fl",1br,1900,bronx,1/23
SPACIOUS 2 BDRM DUPLEX + BACKYARD IN CLINTON HILL****ASAP MOVE IN,2br,2995,clinton hill,1/23
3 BDRM GOWANUS GEM AVAILABLE FOR ASAP MOVE IN!!! SHARED YARD!!!,3br,4400,gowanus,1/23
Beautiful ( 2 Bed ) Duplex W/ Roof Deck ! Easy Access to A/C/J/L Train,2br,2300,east ny / bushwick / ocean hill / bedford stuyvesant,1/23
NO FEE 1bd - 4min walk to Myrtle Ave J/M/Z,1br,2630,brooklyn,1/23
3br 2ba Full gut reno with shared courtyard in Prime West Vil!,3br,8500,west village,1/23
Charming Crown Heights 2 Bedroom w Renovated Bathroom Kitchen,2br,2700,crown heights,1/23
BRAND NEW! 2 Bedroom apartment in Bay Ridge - 5th ave & 81st Street,2br,2600,bay ridge,1/23
CORNER UNIT_CITY VIEWS_2 MONTHS FREE!!!!,,3511,financial district,1/23
BRAND NEW! 3 Bedroom apartment in Bay Ridge - 5th ave & 81st Street,3br,3000,bay ridge,1/23
Apartamento,,2500,mount vernon ny,1/23
Nice One Bedroom Apt   home and Office with Parking. Feb . No Fee,1br,1886,forest hills,1/23
"FOR YOU ONLY ""THE BEST!"" MINT 1BR-ELEV/LNDRY-GRAN-SS-DW-QN BR-CNTRL PK",1br,2500,upper east side,1/23
Spacious 2 bed 1 bath unit in Bushwick W/d in bldg + furnished rooftop,2br,2600,bushwick,1/23
YOU WILL ENJOY THE NEW LUXURY BATHROOMS WITH THEIR STYLISH TILING,,4195,prospect heights,1/23
------->NO FEE------LUXURY DEVELOPMENT 2 BED 1 BATH----WATERFRONT----5,2br,5100,long island city,1/23
"2 BED / 1 BATH DISHWASHER, STONE COUNTERTOPS, PRIVATE ROOF DECK",2br,4100,williamsburg,1/23
"Classic 1 bed in Gramercy Park. Big, Bright, Beautiful .See 3D Tour",1br,3695,gramercy,1/23
Newly renovated 2 bedrooms with parking,2br,2600,kew garden,1/23
Best Deal | Massive 3Beds in Bushwick + Hardwood Floors,3br,2899,brooklyn,1/23
Live / work Soho 5 bedroom 2 bath loft,5br,15000,soho,1/23
Jones/Bleecker WV. Large 1 bed (convert 2) with Private Backyard Space,1br,3500,west village,1/23
"Stunning Studio in Prime Soho, Elegant Renovation! Elevator, Laundry b",studio,2995,soho,1/23
BRAND NEW SPACIOUS ROOM IN PRIME WILLIAMSUBURG,,1800,williamsburg,1/23
Crown Heights Renovated 3 Bed 2 Bath,3br,4000,crown heughts,1/23
Renovated specious 2 bed 1 bath prime Bed - Stuy,2br,2600,brooklyn,1/23
Spacious Bedroom in the Heart of The Financial District WOW!,,2799,financial district,1/23
"Wonderful apartment in great neighborhood in Crown Heights, $850",,850,brooklyn,1/23
Brand New Luxury 1 Bed Fort Greene Best Deal In Town NO FEE,1br,3695,clinton hill,1/23
Prime Kensington 2 Bedroom,2br,2000,kensington village,1/23
Pacific St_2BR @ BARCLAYS__PARK SLOPE BOERUM HILL PROSPECT HEIGHTS,2br,3400,park slope,1/23
Huge and Charming Bedford Stuyvesant Prewar 1 Bedroom,1br,2600,bedford stuyesant,1/23
No Fee 3bed/1bath in Stuy Heights,3br,3250,brooklyn,1/23
No Fee 3bed/2bath duplex w/d in unit,3br,3800,brooklyn,1/23
SPACIOUS 2 BDRM AVAILABLE IN BUSHWICK***ASAP MOVE IN***GREAT LOCATION,2br,2550,bushwick,1/23
3 BDRM GOWANUS GEM AVAILABLE FOR ASAP MOVE IN!!! SHARED YARD!!!,3br,4400,gowanus,1/23
S. Williamsburg Prewar Renovated 3 Bed 2 Full Bathroom,3br,4000,williamsburg,1/23
SUPER SUNNY 2 BDRM PENTHOUSE AVAILABLE IN PRIME BUSHWICK*PRIVATE PATIO,2br,2995,bushwick,1/23
LUXURY 1 BDMR APT AVAILABLE IN PRIME ASTORIA***LOTS OF AMENITIES**,1br,2934,astoria,1/23
MODERN 2 BDRM GEM AVAILABLE IN BEDSTUY**ASAP MOVE IN***GREAT LOCATION,2br,2695,bedford stuyvesyant,1/23
SPACIOUS 2 BDRM DUPLEX + BACKYARD IN CLINTON HILL****ASAP MOVE IN,2br,2995,clinton hill,1/23
Studio Condo for rent,studio,1800,sunset park,1/23
"WE HAVE OVER 1,300 DIFFERENT APARTMENTS FOR RENT IN BRONX, NY",,2500,bronx,1/23
Unreal Beautiful Brand New Luxury 1 Bed Prospect Heights NO FEE,1br,4490,prospect heights,1/23
---33RD FLOOR----NO FEE------1 MO FREE----SUN DRENCHED----- 5 MIN TO M,,3199,long island city,1/23
Giant Prewar Bedford Stuyvesant 2 Bedroom,2br,2000,bedford stuyesant,1/23
Renovated Bedford Stuyvesant 2 Bedroom Corner Windows,2br,2600,bedford stuyvesant,1/23
"3 br apts. in Jersey City -mins to Manhattan,near train.",3br,2800,jersey city,1/23
74TH STREET AND BROADWAY ONE BEDROOM NEAR #7 TRAIN E M R TRAIN,1br,1700,jackson heights,1/23
Stunning Brand New Massive Prospect Heights 2 Bed 2 Bath NO FEE,2br,6495,prospect heights,1/23
"Gorgeous 1 Bed in Renovated Building w/ Backyard, Rood & Laundry!",1br,2499,"bushwick, 500 feet from the kosciusko st j train.",1/23
MASSIVE 2 Bed w/ Balcony in NEW Luxury Building!,2br,3345,heart of bedstuy! short walk from the j/z/a & c train lines.,1/23
2 Bed 2 Bath w/ Private Outdoor Space + Laundry!,2br,2499,ocean hill! short walk from the a & c train lines.,1/23
